"gene_symbol","log2FoldChange","padj","baseMean","regulation","ensembl_id"
"ACAN",1.94659811216552,0.00471323745244199,274.485714285714,"Up-regulated","ENSG00000157766"
"CHST11",1.9392177643265,4.15925257938103e-05,185.028571428571,"Up-regulated","ENSG00000171310"
"CERCAM",1.93819849315316,0.000165485084696072,1446.85714285714,"Up-regulated","ENSG00000167123"
"MRC2",1.93586559946396,8.07817802569181e-06,4414.54285714286,"Up-regulated","ENSG00000011028"
"PYGL",1.91085732167468,8.229997235201e-05,804.571428571429,"Up-regulated","ENSG00000100504"
"SLC26A8",1.90393834901417,0.0322729725231475,8.51428571428571,"Up-regulated","ENSG00000112053"
"FGF16",1.89791020684351,0.00535033867035803,32.8571428571429,"Up-regulated","ENSG00000196468"
"GLB1L",1.88200395739762,4.0297283277265e-05,136.8,"Up-regulated","ENSG00000163521"
"FUT2",1.87839977297873,0.00140415402934594,9.45714285714286,"Up-regulated","ENSG00000176920"
"CLEC7A",1.87808801971851,0.00122016378003638,301.628571428571,"Up-regulated","ENSG00000172243"
"B3GNT9",1.86835833234562,8.85928142566146e-07,180.742857142857,"Up-regulated","ENSG00000237172"
"GALNT16",1.86175273148412,3.25386774495839e-06,1113.31428571429,"Up-regulated","ENSG00000100626"
"PTN",1.8556155239159,0.00335252009161825,308.371428571429,"Up-regulated","ENSG00000105894"
"FN1",1.84572941477528,4.163866238386e-06,18515.2571428571,"Up-regulated","ENSG00000115414"
"KLRB1",1.83635338684507,0.0139831937588312,59.8,"Up-regulated","ENSG00000111796"
"CHST8",1.83451959564531,0.0063759634883336,8.6,"Up-regulated","ENSG00000124302"
"IL6",1.818234998779,0.0135273809471906,11.6,"Up-regulated","ENSG00000136244"
"SVOP",1.80884651223634,0.00315247059825832,25.4,"Up-regulated","ENSG00000166111"
"CD72",1.79386119862186,0.00043295033546004,65.7142857142857,"Up-regulated","ENSG00000137101"
"ST8SIA2",1.78701363461524,0.0101489032375749,93.6857142857143,"Up-regulated","ENSG00000140557"
"DPY19L2",1.78338206748838,0.000631051506418435,349.628571428571,"Up-regulated","ENSG00000177990"
"ARSL",1.75430558893541,0.0235629434595916,4.8,"Up-regulated","ENSG00000157399"
"LGALS3BP",1.75301956538177,0.00010052208955278,4060.51428571429,"Up-regulated","ENSG00000108679"
"LFNG",1.75264010702965,0.000676953605402201,845.371428571429,"Up-regulated","ENSG00000106003"
"GAL3ST4",1.75186083403543,8.87696930865519e-05,194.457142857143,"Up-regulated","ENSG00000197093"
"FCN1",1.74831832830421,0.00769802835261958,777.514285714286,"Up-regulated","ENSG00000085265"
"SLC2A14",1.73910987124643,1.90424259514455e-05,57.5714285714286,"Up-regulated","ENSG00000173262"
"SIGLEC11",1.7257864597838,0.00434345977957783,25.8,"Up-regulated","ENSG00000161640"
"DCN",1.71807659457781,0.000109875766891397,52190.8857142857,"Up-regulated","ENSG00000011465"
"LGALS2",1.70712940997682,0.00906219230808166,35.4,"Up-regulated","ENSG00000100079"
"PLA2R1",1.70018168467075,5.58977239177779e-06,219.685714285714,"Up-regulated","ENSG00000153246"
"SLC2A3",1.68382205864746,8.49812063862602e-08,684.514285714286,"Up-regulated","ENSG00000059804"
"IDUA",1.66329904126156,0.000140938482137535,406.314285714286,"Up-regulated","ENSG00000127415"
"MGAT3",1.64968073662074,1.9368890346719e-05,399,"Up-regulated","ENSG00000128268"
"HAS2",1.63372808079833,0.00102737673174502,126.314285714286,"Up-regulated","ENSG00000170961"
"MAN2B2",1.62708822001682,1.33640556272821e-06,968.085714285715,"Up-regulated","ENSG00000013288"
"ADAMTS5",1.62510617913681,0.00135881593792069,894.485714285714,"Up-regulated","ENSG00000154736"
"SLC2A10",1.60667431823341,5.59116471147705e-05,258.914285714286,"Up-regulated","ENSG00000197496"
"COLEC12",1.59963648512694,9.26176746447287e-05,1111.97142857143,"Up-regulated","ENSG00000158270"
"ADAMTS4",1.5918241945022,9.3745598220863e-07,117.942857142857,"Up-regulated","ENSG00000158859"
"SCD5",1.58837603156495,0.000369020903262876,184.428571428571,"Up-regulated","ENSG00000145284"
"ITGA3",1.57889867762669,1.58306943452872e-07,1162.14285714286,"Up-regulated","ENSG00000005884"
"KLRC1",1.57652251486729,0.047443598677055,9.68571428571429,"Up-regulated","ENSG00000134545"
"PFKP",1.57607725669515,3.59931465987529e-07,1225.42857142857,"Up-regulated","ENSG00000067057"
"SULF1",1.55789822574166,0.000288272704113139,1155.91428571429,"Up-regulated","ENSG00000137573"
"SDC2",1.55369046200052,7.04634307294089e-05,2990.34285714286,"Up-regulated","ENSG00000169439"
"SLC2A1",1.54655592993725,0.00127898390159122,223.114285714286,"Up-regulated","ENSG00000117394"
"PKD1L2",1.54279397053668,0.00421338129941334,203.542857142857,"Up-regulated","ENSG00000166473"
"B3GNT8",1.53551097369387,0.000386839644395189,85.2,"Up-regulated","ENSG00000177191"
"CD69",1.53420084725974,0.0478520821815634,24.4857142857143,"Up-regulated","ENSG00000110848"
"CERS4",1.5328435125349,0.000779891076302004,323.142857142857,"Up-regulated","ENSG00000090661"
"GALNT12",1.52497456372021,0.00511756976532131,131.314285714286,"Up-regulated","ENSG00000119514"
