"","logFC","logCPM","PValue","FDR","regulation"
"UGT2B17",-6.29238016344912,-1.11894407627833,0.00922395944884699,0.111786124106649,"Down"
"CST5",-6.29238016344912,-1.11894407627833,0.00922395944884699,0.111786124106649,"Down"
"DCN",6.24505127403618,6.6670120289142,8.33011847208477e-14,6.99593188516027e-11,"Up"
"CTSS",-6.12594125121261,4.76669943060386,1.38966098782611e-12,7.54051887253034e-10,"Down"
"FGF6",6.07134604555957,-1.31479769022926,0.0219001610305958,0.205829323706463,"Up"
"ACAN",6.07134604555957,-1.31479769022926,0.0219001610305958,0.205829323706463,"Up"
"MASP1",-5.97504645653579,-1.33925129935215,0.0219001610305958,0.205829323706463,"Down"
"FGF20",-5.97504645653579,-1.33925129935215,0.0219001610305958,0.205829323706463,"Down"
"CHST4",-5.97504645653579,-1.33925129935215,0.0219001610305958,0.205829323706463,"Down"
"HYAL4",-5.78567414942454,-1.4636395343264,0.0347826086956522,0.281515537977935,"Down"
"ALG9",-5.78567414942454,-1.4636395343264,0.0347826086956522,0.281515537977935,"Down"
"VCAN",-5.7291723870008,6.42323372482937,2.18011483943786e-12,1.08560072478167e-09,"Down"
"UGT3A2",-5.70558472673319,2.94053444990387,8.99610532194848e-10,1.95957475675222e-07,"Down"
"B4GALNT4",5.65306563148577,1.8545402638123,6.43492922888032e-08,7.56291793152988e-06,"Up"
"GALNT14",-5.512887812452,4.40516544212053,8.34253612637412e-11,2.47325824046643e-08,"Down"
"CRYBG3",-5.45160599646194,4.54896141785151,8.39970597531517e-11,2.47457097133513e-08,"Down"
"BCHE",-5.40663686629297,5.3440753678159,3.24334352164918e-11,1.11963004061152e-08,"Down"
"NEU4",5.4060897170583,-1.73376245932296,0.0942028985507246,0.538306377429747,"Up"
"HAPLN1",5.4060897170583,-1.73376245932296,0.0942028985507246,0.538306377429747,"Up"
"B3GALT5",-5.35011498508599,5.39136263324059,4.16326288707693e-11,1.35411930284932e-08,"Down"
"GLB1L3",-5.3106705749274,-1.75062592995173,0.0942028985507246,0.538306377429747,"Down"
"KLRF1",-5.3106705749274,-1.75062592995173,0.0942028985507246,0.538306377429747,"Down"
"HS6ST3",-5.3106705749274,-1.75062592995173,0.0942028985507246,0.538306377429747,"Down"
"COL9A2",5.28931773030418,4.77191376940108,1.03062834141948e-10,2.95879725221085e-08,"Up"
"ITGB2",-5.19848300879595,5.03179554956281,1.44763990827685e-10,3.87891666661096e-08,"Down"
"CSPG4",5.19350958265254,4.53609949287063,2.2313424943518e-10,5.7331237814923e-08,"Up"
"SPAM1",5.09264252826884,-1.90518420277828,0.161490683229814,0.751357636403041,"Up"
"FCN1",5.09264252826884,-1.90518420277828,0.161490683229814,0.751357636403041,"Up"
"SIGLEC9",5.09264252826884,-1.90518420277828,0.161490683229814,0.751357636403041,"Up"
"FCN3",-4.99780145756151,-1.91915635095465,0.161490683229814,0.751357636403041,"Down"
"SLC26A5",-4.99780145756151,-1.91915635095465,0.161490683229814,0.751357636403041,"Down"
"CLEC7A",-4.99780145756151,-1.91915635095465,0.161490683229814,0.751357636403041,"Down"
"MAG",-4.99780145756151,-1.91915635095465,0.161490683229814,0.751357636403041,"Down"
"HAS2",4.96027077203586,2.12693049283534,1.51889384787169e-07,1.51805751200519e-05,"Up"
"B3GALT2",4.8580856426817,3.9677770464204,2.51461432498593e-09,4.52060170775186e-07,"Up"
"UGT2B7",-4.79640918774604,4.09466184042835,4.17854361667098e-09,7.08200213151987e-07,"Down"
"MASP2",-4.72184555952375,1.62231264185331,1.15169263022245e-06,8.60618759760786e-05,"Down"
"CD74",-4.71911680911585,4.25179448738905,4.79673231258028e-09,8.00685799841958e-07,"Down"
"CD207",4.6916300152715,-2.09943688135,0.285714285714286,1,"Up"
"SLC2A2",4.6916300152715,-2.09943688135,0.285714285714286,1,"Up"
"HK3",4.6916300152715,-2.09943688135,0.285714285714286,1,"Up"
